LOCATION_NAME,Dose Equivalency,Gamma Count Rate R02,Gamma Count Rate R03,Gamma Count Rate R04,Gamma Count Rate R05,Gamma Count Rate R06,Gamma Count Rate R07,Gamma Count Rate R08,Gamma Count Rate R09,County,New Cases,Cases per 100k,Deaths,Deaths per 100k
AL: BIRMINGHAM,49.87463054,1986.730542,1054.270443,289.4981527,156.2151478,87.96600985,106.004064,66.31724138,35.5320197,Jefferson,17480,453,6943,179
AK: FAIRBANKS,40.16144387,975.062938,586.1822028,174.9391776,98.69840011,61.05513685,83.46978712,57.82916832,46.69152453,Fairbanks North Star Borough,1585,386,532,150
AZ: PHOENIX,81.43588269,2722.676312,1700.315699,514.4819693,281.1833297,182.9630749,224.0561434,146.3301663,50.26516951,Maricopa,89665,394,31764,140
AR: LITTLE ROCK,87.31594945,2974.744046,1771.79839,510.9439785,277.1558202,180.2698759,193.5729621,121.7678631,32.48255619,Pulaski,10769,487,3738,171
CA: LOS ANGELES,76.05481771,3093.06332,1875.271762,534.9176008,288.0896733,187.3894586,225.3766993,144.6508466,57.02647269,Los Angeles,199696,380,71886,139
CO: COLORADO SPRINGS,n/a,4607.386537,2922.740841,809.8464725,440.1817476,263.3474434,318.1963754,200.9877023,82.92440129,El Paso,14122,422,4514,142
CT: HARTFORD,n/a,2839.128162,1846.330205,607.3562181,309.0161539,179.4358,189.3505167,95.30086709,33.41940848,Hartford,25867,464,8460,146
DC: WASHINGTON,31.99064867,1011.78213,545.7478107,163.0874556,87.17088757,51.78260355,72.74733728,52.4339645,41.63254438,DC,14183,429,5358,164
DE: DOVER,45.18881917,1509.746912,889.5595993,287.1207012,148.5287145,96.61101836,119.4936561,66.45626043,27.36644407,Kent,5334,518,1846,178
FL: JACKSONVILLE,52.29704868,1180.094571,685.2384286,207.9897143,105.0504286,63.844,80.50057143,47.83371429,23.81071429,Duval,25805,524,8341,173
GA: AUGUSTA,51.19011474,2897.858949,1685.659935,484.8162479,256.2034839,155.3226453,170.090797,108.8765223,54.84522892,Richmond,5036,470,2033,194
HI: HONOLULU,32.02213456,876.8820773,485.4050665,159.9559215,84.9069031,59.17327422,76.80544649,56.33261558,42.1180494,Honolulu,25367,429,8139,129
ID: IDAHO FALLS,98.01855112,3103.973266,1774.980323,521.1180622,276.2804994,163.532501,192.7843669,118.1924277,48.7302212,Bonneville,2400,440,725,135
IL: CHICAGO,46.08750678,1801.482981,1014.14517,311.8704692,161.3442502,101.1690892,134.4667893,76.37276909,40.125115,Cook,128741,449,47011,164
IN: INDIANAPOLIS,n/a,1698.585756,1061.232607,286.1958799,169.0362566,94.21035903,115.9841083,73.85862272,33.9905827,Marion,22157,469,8487,184
IA: DES MOINES,n/a,1811.390814,1170.301916,329.1346858,199.0860806,105.102705,130.5860806,81.80600169,38.93871513,Des Moines,1398,502,533,181
KY: PADUCAH,37.83559206,1377.046338,837.3497449,241.8281616,137.9755896,70.89932423,92.60874362,51.92552751,23.50737829,McCracken,2186,494,800,173
